Kérdés,Válasz
Mikor lehet feltenni a szakmai gyakorlat beszámolóját az oldalra?,A beszámolót a jövő hét folyamán lehet feltölteni az oldalra.
Milyen hosszú legyen a szakmai gyakorlat beszámoló terjedelme?,"A beszámolónak legalább 15 oldal hosszúnak kell lennie, és a szakdolgozat/diplomaterv sablonnal kell megegyeznie."
Milyen dátumokat kell feltüntetni az igazoló lapra?,Az igazoló lapra a ténylegesen végzett gyakorlat időpontjait kell feltüntetni.
"Mennyivel kezdhettem el korábban a szakmai gyakorlatot, mint amit a jelentkezési lapon és feladatlapon feltüntettem?","A gyakorlatot egy héttel korábban kezdhették el, mint amit a jelentkezési lap és feladatlap tartalmazott."
Milyen dátumokat kell feltüntetni az értékelő lapra?,Az értékelő lapra az eredetileg tervezett dátumokat kell feltüntetni.
Milyen formában láthatók majd a tényleges gyakorlati időpontok a munkanaplóban?,A tényleges gyakorlati időpontok a munkanaplóként leadott excel táblázatban lesznek láthatók.
Milyen hatással lesz a tényleges időpontok feltüntetése az igazoló lapra és a végbizonyítványra?,A tényleges időpontok feltüntetése nem befolyásolja az igazoló lapot és a végbizonyítványt.
Milyen formában kell eljuttatni az együttműködési megállapodást a kari adminisztrációhoz?,Az együttműködési megállapodást fizikai formában kell eljuttatni a kari adminisztrációhoz. A pontos helyszínt a kari adminisztrációval való egyeztetés után fogod megkapni.
Milyen dokumentumokat kell csatolni a szakmai gyakorlat kérelméhez?," ""A szakmai gyakorlat kérelméhez csatolnod kell a kérelmet a tanszéki listán nem szereplő gyakorlóhelyen végzendő szakmai gyakorlat hozzájárulására."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?," ""Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot a javasoltól eltérő módon félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat."
Milyen cégek közül lehet választani a BME VIK szakmai gyakorlatához?,A BME VIK szakmai gyakorlatához a Neptun rendszerben található cégek közül lehet választani.
Mennyi idővel a gyakorlat kezdete előtt lehet jelentkezni egy céghez?,"A jelentkezést cégenként változó időpontban lehet megtenni, érdemes figyelni a Neptun rendszerben megjelent hirdetéseket és frissítéseket."
Milyen óraszámmal kell teljesíteni a BME VIK szakmai gyakorlatát?,A BME VIK szakmai gyakorlatához legalább 320 órát kell teljesíteni a választott cégben.
Lehetőség van változtatni a szakmai gyakorlat helyszínén?,"Amennyiben még nem kezdtél el dolgozni a választott cégnél, van lehetőség változtatni a szakmai gyakorlat helyszínén. Ehhez fel kell venni a kapcsolatot a BME VIK Szakmai Gyakorlat Bizottságával."
Mennyi idővel a gyakorlat kezdete előtt kell megadni a választott céget a BME VIK-nek?,A választott céget a BME VIK-nek legalább egy héttel a gyakorlat kezdete előtt kell jelenteni.
"Mi a teendő, ha a választott cég nem szerepel az opciók között a Neptun rendszerben?","Amennyiben a választott cég nem szerepel az opciók között a Neptun rendszerben, érdemes felvenni a kapcsolatot a BME VIK Szakmai Gyakorlat Bizottságával, hogy megvizsgálják a"
Mikor lehet elkezdeni elszámolni a szakmai gyakorlatot?,"Ha van már gyakorlóhelyed, akkor a regisztrációs hét kezdetétől el tudod kezdeni elszámolni a gyakorlatot erre a félévre. A regisztrációs és pótlási hetekben heti 40 órát is el tudsz számolni, így összesen 360 órányi munkát végezhetsz a félévben."
Mennyi órát lehet dolgozni a szakmai gyakorlaton?,"Dolgozni annyit lehet, amennyit szeretnél. Csak az elszámolásra van heti 20 órás limit."
Lehet-e emelt óraszámmal végezni a szakmai gyakorlatot?,"Igen, lehetőség van emelt óraszámmal végezni a szakmai gyakorlatot. A tanulók kérhetik a heti óra limit megemelését, de a döntés a tanszék hatáskörébe tartozik."
Mikor kell kiállítani a feladatlapot a szakmai gyakorlat kezdete előtt?,"A feladatlapot a gyakorlat kezdetét megelőzően kell kiállítani, hogy a szakmai gyakorlatot megfelelően dokumentálni lehessen."
Melyik céget választhatom a szakmai gyakorlatomhoz?,"A céget magad választhatod ki, azonban fontos, hogy a megállapodás dátumától végzett munkát tudod csak szakmai gyakorlatnak elszámolni."
Mikor kell kiírni a szakmai gyakorlat témáját?,"A szakmai gyakorlat témáját a cég és a tanszéki felelős egyezteti a megállapodás után, majd a tanszék írja ki a szakmai gyakorlat oldalon. Azonban van lehetőség téma létrehozására a hallgató részéről is az Új téma létrehozása oldalon."
"Milyen céget kell megadnom az űrlapon, ha a JLR Hungary Kft. még nincs benne a listában?","Amennyiben a JLR Hungary Kft. még nincs benne a vállalatok listájában, akkor a Mind-Diák Szövetkezetet kell megadnod, akiken keresztül dolgozol. Várhatod is, hogy a JLR bekerüljön a listába."
Lehet visszamenőleg leigazolni az óráimat a szakmai gyakorlat alatt?,"A szakmai gyakorlat óráit csak a megállapodás dátumától végzett munkával lehet visszamenőleg leigazolni. Fontos, hogy a megállapodást időben megkösse a JLR Hungary Kft"
Mikor van határideje az igazoló dokumentumok feltöltésének?,"Az igazoló dokumentumok feltöltési határideje a szakmai gyakorlatot követő félév végéig tart. Tehát azok, akik a nyári szakmai gyakorlatot teljesítik, az őszi félév végéig kell feltöltsék az igazoló dokumentumokat."
Mindenképp szükséges a pecsét a munkanaplón?,"Igen, a munkanaplónak tartalmaznia kell a gyakorlóhely pecsétjét. A pecsét azért szükséges, mert ez igazolja, hogy valóban a megadott helyen és időszakban végezted a gyakorlatot."
Van lehetőség a munkanapló későbbi leadására?,"Amennyiben a munkanapló lepecsételése hosszabb időt vesz igénybe, és ezért nem tudod időben leadni, akkor a későbbi leadásra van lehetőség. Fontos azonban, hogy a leadási határidőt ne halaszd túl sokáig, mivel az igazoló dokumentumokat a szakmai gyakorlatot követő félév végéig kell feltölteni."
Milyen adatokat kell megadni a kapcsolattartó adatainál a szakmai gyakorlat során?,"A kapcsolattartó adatainál mind a szakmai, mind az adminisztratív kapcsolattartó adatait meg kell adni."
Melyik űrlapot kell kitölteni a szakmai gyakorlat helyszínének jelentéséhez?,A szakmai gyakorlat helyszínének jelentéséhez az alábbi űrlapot kell kitölteni: https://www.aut.bme.hu/SzakmaiGyakorlat/Vallalatok/Uj
Mikor kell leadni a csatolt dokumentumot a szerződéskötéshez?,"A csatolt dokumentumot a szerződéskötéshez leadnod kell, amikor végeztél a kitöltésével."
Milyen teendők vannak a szakmai gyakorlat előtt?,A szakmai gyakorlat előtt a csatolt dokumentumot kell kitöltened és leadnod a szerződéskötéshez.
"Van-e más teendő a szakmai gyakorlat során, ha diákszövetkezeten keresztül vagy?","Ha diákszövetkezeten keresztül vagy, akkor a szakmai gyakorlat során nincs más teendőd, hiszen már van szerződésed velük."
Milyen módon tudom elszámolni a munkámat szakmai gyakorlatként?,"A legegyszerűbb, ha kitöltöd a szakmai gyakorlatra vonatkozó jelentkezési lapot az alábbi linken: https://www.aut.bme.hu/SzakmaiGyakorlat/Vallalatok/Uj. Amint a cég aláírta az együttműködési megállapodást a karral, elkezdheted a munka elszámolását gyakorlatként."
Mikor kell leadnom a jelentkezési lapot a szakmai gyakorlathoz?,"A jelentkezési lapot már most leadhatod, még mielőtt a cég aláírta volna az együttműködési megállapodást a karral. Azonban a munka elszámolása gyakorlatként csak az aláírt megállapodás után kezdődhet."
"Milyen teendőim vannak, ha a cégnél még nincs együttműködési megállapodás a karral?","Amennyiben a cégnek még nincs együttműködési megállapodása a karral, érdemes felvenni a kapcsolatot a szakmai gyakorlatokért felelős személlyel a kar honlapján található elérhetőségek segítségével. Ők tudnak tájékoztatást adni a további teendőkről és az együttműködés megkötésének folyamatáról."
Milyen dokumentumokat kell leadni az AUT titkárságon a szakmai gyakorlattal kapcsolatban?,"Az AUT titkárságon két példányban kell leadni a szakmai gyakorlati dokumentumokat. Az egyik példányt aláírás után visszaküldik a cégnak, a másik példányt pedig az AUT titkárságon őrzik."
Szükséges-e papír alapon eljuttatni a szerződés scannelt változatát?,"Igen, szükséges papír alapon eljuttatni a szerződés scannelt változatát az AUT titkárságára."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Mikor lehet jelentkezni az őszi időszakra a BME VIK szakmai gyakorlatra?,"Már lehet jelentkezni az őszi időszakra is. Adminisztrációs szempontból nincs sok jelentősége, hogy a nyári vagy az őszi időszakban jelentkezel."
Mikor lesz kiválasztható a 2023. Ősz a téma kiírásnál?,"A 2023. Ősz még nem választható ki a téma kiírásánál. Szükséges megvárni, vagy választható a 2023. Nyár opció is, annak ellenére, hogy a szakmai gyakorlat a szorgalmi időszakban történik."
Melyik dokumentumot kell leadni a szakmai gyakorlat igazolásához?,Az 1. számú mellékletet kell leadni a szakmai gyakorlat igazolásához.
Mikor lehet elkezdeni a szakmai gyakorlatot?,A szakmai gyakorlatot a hofer controls Kft.-nél augusztus 28-án lehet elkezdeni.
Milyen dokumentumokat kell kitölteni az iskolaszövetkezettel és a munkáltatóval?,"Az 1. számú, 4. számú és 5. számú dokumentumokat kell kitölteni az iskolaszövetkezettel és a munkáltatóval."
Mi a szakmai gyakorlat teljesítésének feltétele?,A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele.
Milyen tanácsokat adhat a szakmai gyakorlat lebonyolításával kapcsolatban?,"Azt javasoljuk, hogy kérdezz meg minden részletezést a hofer controls Kft.-től és az iskolaszövetkezettől is, hogy biztosan mindent jól értelmezz."
Milyen módon lehet jelentkezni a BME VIK szakmai gyakorlatára?,"A BME VIK szakmai gyakorlatára az ajánlott módon az űrlap kitöltésével lehet jelentkezni. Az űrlap elérhető a BME VIK honlapján, a Szakmai Gyakorlat menüpontban található linken."
Milyen cégnek lehet végezni a BME VIK szakmai gyakorlatát?,"A BME VIK szakmai gyakorlatát bármely olyan cégben lehet végezni, amely a kari listán szerepel. Amennyiben a kívánt cég még nem szerepel a listán, lehetőség van a cég felvételére a listára. Erről a BME VIK honlapján található űrlap kitöltésével lehet tájékozódni."
Milyen dokumentumokat kell leadni a szakmai gyakorlat szerződéskötéséhez?,A szakmai gyakorlat szerződéskötéséhez szükséges a kitöltött dokumentum leadása. Az adott cég által előírt dokumentumokról a cégnek kell tájékoztatást adnia.
Milyen szervezeten keresztül lehet végezni a BME VIK szakmai gyakorlatát?,"A BME VIK szakmai gyakorlatát lehet végezni diákszövetkezeten keresztül is. Amennyiben a diákszövetkezetnek már van szerződése a céggel, ahol a gyakorlatot végeznéd, ezt előnyként lehet felhasználni a szerződéskötés során."
Milyen dokumentumokat kell feltölteni a tanszéki portálra a szakmai gyakorlat elismeréséhez?,"A szakmai gyakorlat elismeréséhez szükséges feltölteni a szerződést, a feladatlapot és a beszámolót a tanszéki portálra. Ezek hiányában nem lehet elfogadni a gyakorlatot."
"Mi a teendő, ha a szakmai gyakorlat dokumentumai nem lettek feltöltve a tanszéki portálra?","Amennyiben a szakmai gyakorlat dokumentumai nem lettek feltöltve a tanszéki portálra, érdemes kapcsolatba lépni a tanszékkel, és megbeszélni a helyzetet. Ha valóban elkészültek az összes dokumentumok, van lehetőség arra, hogy idővel elfogadtassák a gyakorlatot."
Milyen határidővel lehet utólagosan érvényesíteni a szakmai gyakorlatot?,"Az utólagosan való gyakorlati elismerés határideje általában a következő szemeszter végéig tart. Azonban érdemes minél hamarabb kapcsolatba lépni a tanszékkel, hogy megbeszélhessék a lehetőségeket és az esetleges határidőket."
Melyek a szakmai gyakorlat elismerésének alapfeltételei?,"A szakmai gyakorlat elismerésének alapfeltételei közé tartozik a szerződés megkötése, a feladatlap és a beszámoló feltöltése a tanszéki portálra. Ezek hiányában nem lehet elfogadni a gyakorlatot."
Mikor kell dokumentálni a gyakorlatot és leadni a feladatlapot és a további dokumentumokat?,A gyakorlat dokumentálását és a feladatlap leadását a gyakorlat végén kell elvégezni. A további dokumentumokat is ekkor kell leadni.
Milyen dokumentumokat kell leadni a gyakorlat végén?,"A gyakorlat végén leadandó dokumentumok közé tartozik a feladatlap és további dokumentumok, amelyeket a gyakorlat során készítesz."
Milyen módon lehet pótolni a dokumentumok leadását?,"Amennyiben a gyakorlat dokumentálása megtörtént, de a dokumentumokat nem sikerült leadni, lehetőség van a dokumentumok pótlására."
Milyen módon lehet elfogadhatóvá tenni a már elvégzett munkát szakmai gyakorlatként?,"Ha a már elvégzett munka szakmai gyakorlatként szeretnéd elfogadhatóvá tenni, javasolt a szakmai gyakorlat tárgy felvételéhez kapcsolatba lépni a szakmai gyakorlatot koordináló tanárral vagy az illetékes szakmai gyakorlati irodával."
Mennyi ideig lehet itt tölteni a szakmai gyakorlatot?,"A szakmai gyakorlat időtartama rugalmas, de általában minimum 4-6 hét. A pontos időtartamról érdemes előzetesen konzultálni a gyakorlatot koordináló tanárral vagy a szakmai gyakorlati irodával."
Mikor kell rendelkezni keretmegállapodással a tényleges gyakorlóhelyen történő szakmai gyakorlat esetén?,A tényleges gyakorlóhelynek minden esetben rendelkeznie kell keretmegállapodással.
Milyen teendőim vannak az iskolaszövetkezettel kapcsolatban a szakmai gyakorlat során?,Az iskolaszövetkezettel kapcsolatban nincs extra teendőd.
"Milyen céggel szerződnék le a szakmai gyakorlatom során, ha a Schönherz iskolaszövetkezeten keresztül szerződök?","A szakmai gyakorlatot a Schönherz iskolaszövetkezetén keresztül szerződni, de a cégedet is regisztrálnod kell a BME-n."
